timecode,color,brightness
00:00:00.500, #e0b935, 20},
00:00:17.000, #e0b935, 0},
00:00:18.500, #e0b935, 60},
00:00:27.000, #e0b935, 99},
00:01:04.000, #e0b935, 121},
00:01:06.000, #53D5FD, 121},
00:01:07.800, #b18cfe, 121},
00:01:36.000, #b18cfe, 5},
00:01:54.000, #e0b935, 5},
00:02:11.000, #e0b935, 100},
00:02:43.000, #e0b935, 72},
00:02:57.000, #e0b935, 0}
