timecode,color,brightness
00:00:00.000,#e44dbb,30
00:00:03.000,#e44dbb,60
00:00:08.000,#e32400,60
00:00:14.500,#e44dbb,60
00:00:39.000,#FF4013,60
00:00:45.500,#e44dbb,60
00:01:09.000,#e44dbb,90
00:01:11.000,#ff40ff,100
00:01:12.000,#ff40ff,80
00:01:13.000,#ff40ff,100
00:01:15.000,#e44dbb,110
00:01:20.000,#ff40ff,100
00:01:55.000,#ff0000,0
